11: Pytorch version 1.4.0a0+a5b4d78
 0: Pytorch version 1.4.0a0+a5b4d78
 1: Pytorch version 1.4.0a0+a5b4d78
 2: Pytorch version 1.4.0a0+a5b4d78
14: Pytorch version 1.4.0a0+a5b4d78
 3: Pytorch version 1.4.0a0+a5b4d78
10: Pytorch version 1.4.0a0+a5b4d78
 4: Pytorch version 1.4.0a0+a5b4d78
12: Pytorch version 1.4.0a0+a5b4d78
 5: Pytorch version 1.4.0a0+a5b4d78
13: Pytorch version 1.4.0a0+a5b4d78
 6: Pytorch version 1.4.0a0+a5b4d78
15: Pytorch version 1.4.0a0+a5b4d78
 7: Pytorch version 1.4.0a0+a5b4d78
 9: Pytorch version 1.4.0a0+a5b4d78
 8: Pytorch version 1.4.0a0+a5b4d78
 0: Rank 0 size 16 device cuda:0 count 8
 7: Rank 7 size 16 device cuda:7 count 8
 4: Rank 4 size 16 device cuda:4 count 8
 6: Rank 6 size 16 device cuda:6 count 8
 1: Rank 1 size 16 device cuda:1 count 8
 2: Rank 2 size 16 device cuda:2 count 8
 3: Rank 3 size 16 device cuda:3 count 8
 5: Rank 5 size 16 device cuda:5 count 8
14: Rank 14 size 16 device cuda:6 count 8
15: Rank 15 size 16 device cuda:7 count 8
 9: Rank 9 size 16 device cuda:1 count 8
 8: Rank 8 size 16 device cuda:0 count 8
10: Rank 10 size 16 device cuda:2 count 8
13: Rank 13 size 16 device cuda:5 count 8
11: Rank 11 size 16 device cuda:3 count 8
12: Rank 12 size 16 device cuda:4 count 8
 9: local result: tensor(-55.9707, device='cuda:1')
14: local result: tensor(-301.7697, device='cuda:6')
 8: local result: tensor(256.2227, device='cuda:0')
10: local result: tensor(75.4573, device='cuda:2')
12: local result: tensor(100.6752, device='cuda:4')
13: local result: tensor(437.1325, device='cuda:5')
 0: local result: tensor(-103.5677, device='cuda:0')
 3: local result: tensor(109.8706, device='cuda:3')
 4: local result: tensor(-74.5597, device='cuda:4')
 6: local result: tensor(32.6824, device='cuda:6')
 5: local result: tensor(-539.8369, device='cuda:5')
 7: local result: tensor(-354.7087, device='cuda:7')
15: local result: tensor(-507.0604, device='cuda:7')
 2: local result: tensor(6.1911, device='cuda:2')
11: local result: tensor(-244.6130, device='cuda:3')
 1: local result: tensor(125.8584, device='cuda:1')
 0: broadcast result: tensor(-103.5677, device='cuda:0')
 7: broadcast result: tensor(-103.5677, device='cuda:7')
 3: broadcast result: tensor(-103.5677, device='cuda:3')
 8: broadcast result: tensor(-103.5677, device='cuda:0')
10: broadcast result: tensor(-103.5677, device='cuda:2')
11: broadcast result: tensor(-103.5677, device='cuda:3')
13: broadcast result: tensor(-103.5677, device='cuda:5')
15: broadcast result: tensor(-103.5677, device='cuda:7')
12: broadcast result: tensor(-103.5677, device='cuda:4')
 9: broadcast result: tensor(-103.5677, device='cuda:1')
14: broadcast result: tensor(-103.5677, device='cuda:6')
 2: broadcast result: tensor(-103.5677, device='cuda:2')
 6: broadcast result: tensor(-103.5677, device='cuda:6')
 4: broadcast result: tensor(-103.5677, device='cuda:4')
 5: broadcast result: tensor(-103.5677, device='cuda:5')
 1: broadcast result: tensor(-103.5677, device='cuda:1')
 2: allreduce result: tensor(-1657.0815, device='cuda:2')
 3: allreduce result: tensor(-1657.0815, device='cuda:3')
 4: allreduce result: tensor(-1657.0815, device='cuda:4')
 7: allreduce result: tensor(-1657.0815, device='cuda:7')
 0: allreduce result: tensor(-1657.0815, device='cuda:0')
 1: allreduce result: tensor(-1657.0815, device='cuda:1')
 5: allreduce result: tensor(-1657.0815, device='cuda:5')
 6: allreduce result: tensor(-1657.0815, device='cuda:6')
 8: allreduce result: tensor(-1657.0815, device='cuda:0')
10: allreduce result: tensor(-1657.0815, device='cuda:2')
15: allreduce result: tensor(-1657.0815, device='cuda:7')
 9: allreduce result: tensor(-1657.0815, device='cuda:1')
12: allreduce result: tensor(-1657.0815, device='cuda:4')
13: allreduce result: tensor(-1657.0815, device='cuda:5')
14: allreduce result: tensor(-1657.0815, device='cuda:6')
11: allreduce result: tensor(-1657.0815, device='cuda:3')
